quarter,cathay_all
2000Q1,0.639391
2000Q2,0.655137
2000Q3,0.642876
2000Q4,0.648167
2001Q1,0.658751
2001Q2,0.613578
2001Q3,0.629195
2001Q4,0.594347
2002Q1,0.574858
2002Q2,0.574084
2002Q3,0.582344
2002Q4,0.581699
2003Q1,0.58557
2003Q2,0.572535
2003Q3,0.589572
2003Q4,0.593314
2004Q1,0.59809
2004Q2,0.63668
2004Q3,0.628033
2004Q4,0.640681
2005Q1,0.643134
2005Q2,0.644166
2005Q3,0.628678
2005Q4,0.65604
2006Q1,0.679788
2006Q2,0.671657
2006Q3,0.688049
2006Q4,0.696567
2007Q1,0.7389
2007Q2,0.746902
2007Q3,0.757357
2007Q4,0.782912
2008Q1,0.778911
2008Q2,0.807047
2008Q3,0.809628
2008Q4,0.802142
2009Q1,0.743418
2009Q2,0.770263
2009Q3,0.766004
2009Q4,0.816727
2010Q1,0.845509
2010Q2,0.870676
2010Q3,0.889391
2010Q4,0.911203
2011Q1,0.947599
2011Q2,0.979608
2011Q3,0.985287
2011Q4,0.963087
2012Q1,0.993934
2012Q2,1.050981
2012Q3,1.0
2012Q4,1.063113
2013Q1,1.094089
2013Q2,1.121838
2013Q3,1.127775
2013Q4,1.199793
2014Q1,1.169721
2014Q2,1.191791
2014Q3,1.205601
2014Q4,1.183402
2015Q1,1.165204
2015Q2,1.19192
2015Q3,1.16017
2015Q4,1.085312
2016Q1,0.945663
2016Q2,0.917527
2016Q3,0.986577
2016Q4,0.951084
2017Q1,0.975865
2017Q2,0.976639
2017Q3,0.979608
2017Q4,1.030201
2018Q1,1.00413
2018Q2,1.028007
2018Q3,1.020134
2018Q4,1.081699
2019Q1,1.097961
2019Q2,1.094992
2019Q3,1.115901
2019Q4,1.126484
2020Q1,1.150878
2020Q2,1.197728
2020Q3,1.221477
2020Q4,1.217605
2021Q1,1.228317
2021Q2,1.22935
2021Q3,1.275555
2021Q4,1.374548
2022Q1,1.562339
2022Q2,1.656298
2022Q3,1.70586
2022Q4,1.717346
2023Q1,1.690501
2023Q2,1.789365
2023Q3,1.766649
2023Q4,1.77065
2024Q1,1.795173
2024Q2,1.915462
2024Q3,2.052013
2024Q4,2.075503
2025Q1,2.091766
2025Q2,2.086603
2025Q3,2.081053
2025Q4,2.097832
