year,rsfull_all,rsfull_taipei,rsfull_taichung,rsfull_keelung,rsfull_tainan,rsfull_kaohsiung,rsfull_newtaipei,rsfull_taoyuan,rsfull_chiayi,rsfull_hsinchu,rsfull_yunlin,rsfull_pingtung,rsfull_hualien,rsfull_taitung
2000,.72052437,.45640215,.78007454,.96834809,.92420304,1.20825,.55130011,1.0414943,1.4164078,.54738355,.84670019,1.1355311,1.0527947,1.0698686
2001,.67818695,.40263042,.77620459,.88031936,.83750898,1.0818298,.52320439,1.1578768,1.3615105,.6565491,.71284723,1.0689675,1.052196,.96277326
2002,.65054965,.41106012,.75695556,.86476916,.77113885,1.026929,.51348728,.88102281,1.266233,.75904346,.70119405,1.1494864,1.1675822,1.5479133
2003,.62642407,.40884244,.69797736,.81844503,.74343389,.97660911,.51230013,.78833759,1.2011009,.7526508,.71946639,1.1018335,.93130165,.96022266
2004,.65734661,.45723167,.74446851,.81080204,.78119081,.96955049,.54621196,.83519274,1.2323589,.83993119,.73295438,1.0263946,.87425631,.9356221
2005,.69188559,.50136811,.78043407,.81102085,.83225077,.95544791,.59068781,.76580566,1.2302258,.81306016,.74096775,1.0409095,.94991785,1.0324175
2006,.72558284,.54536211,.8351633,.85060704,.85434812,.9541558,.61003476,.77761859,1.2643938,.9258914,.77197868,1.1506259,.96686316,.83301145
2007,.75219864,.61651933,.82973045,.84852743,.85527527,.87198091,.64083606,.84766001,1.2920568,.92973769,.74053842,1.2080301,.90603822,.80112481
2008,.78567487,.65352672,.8594901,.86934453,.86398208,.88153505,.67776668,.81131411,1.2820979,.99050415,.80964553,1.2322453,.98569083,.8665098
2009,.79967719,.67464948,.8659181,.86853397,.86386263,.87521636,.6882394,.80558181,1.2395347,1.0069511,.79811513,1.1932957,.90581667,.9284547
2010,.88203299,.79087752,.89978188,.9175114,.92747205,.89161485,.77717626,.85061347,1.2369797,1.0111316,.85656917,1.2153604,.96508116,1.0243673
2011,.93829799,.89521468,.93474633,.95315373,.98135668,.97972745,.90033728,.93333137,1.1110044,1.0663885,.96909863,1.2565125,1.0485013,
2012,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,1.1617591,1.0723366,1.1514997,1.1463675,1.1370045,1.169934,1.1390442,1.2357908,1.1080029,1.0880004,1.1029739,1.1358887,1.1848977,1.1305014
2014,1.306953,1.106693,1.2904967,1.339074,1.3309447,1.3492171,1.2478136,1.4378345,1.2394631,1.187783,1.1481903,1.2874035,1.4865352,1.3304694
2015,1.3586352,1.0773215,1.3568629,1.4780954,1.402293,1.4151077,1.2368718,1.5047805,1.3382107,1.2676438,1.1702126,1.4439813,1.7042179,1.5739542
2016,1.3557079,1.0555606,1.3684218,1.556592,1.4116789,1.4179195,1.209565,1.4799006,1.3865991,1.2687775,1.2529671,1.4836251,1.7840217,1.6955788
2017,1.3869948,1.0356184,1.4228305,1.6098055,1.4908175,1.4679811,1.2107699,1.4915762,1.4194635,1.2676566,1.2693533,1.600127,1.798318,1.7989541
2018,1.4506263,1.0566877,1.491751,1.6350971,1.570953,1.497582,1.2310299,1.532779,1.4993953,1.2984475,1.2771488,1.6816158,1.8076221,1.9140929
2019,1.4934691,1.079513,1.5551516,1.7314749,1.8077582,1.5862654,1.2571658,1.5974244,1.6017269,1.3008312,1.1615046,1.8941203,1.8560947,2.1137447
2020,1.7307161,1.0972493,1.7656722,2.0078292,2.2696264,1.8982254,1.3391497,1.7960424,2.0602088,1.5580057,1.2277656,2.4754097,2.0757194,2.7231486
2021,1.7711217,1.1736231,1.8637823,2.0171187,2.3227568,1.8678237,1.3794571,1.8363334,1.9202169,1.5319654,1.1834767,2.3904727,2.2737772,2.9718354
2022,2.079066,1.2681091,2.1658902,2.2565424,2.9870586,2.3310592,1.5579772,2.2219365,2.157692,1.8647068,1.4357368,2.7030635,2.4722235,3.04193
2023,2.3330967,1.3480841,2.4050002,2.5849302,3.3768992,2.6739371,1.73999,2.5350595,2.5672884,2.1628568,1.5739822,3.0237939,2.7491572,3.5035188
2024,2.6890306,1.4988161,2.7457006,3.0920734,3.785713,3.1117353,2.0094585,2.9168651,3.1593058,2.6873269,1.6498604,3.4939835,3.0788953,4.4817634
2025,2.9122486,1.5930231,2.8378932,3.4514043,4.0422187,3.3735123,2.1935604,3.223949,3.6612329,2.9929059,1.752285,3.6554654,3.2986581,4.7346172
2026,2.9636579,1.962448,2.8246241,2.9437928,3.9154892,3.7763641,2.1111546,3.1824887,4.8953509,,,,2.0229747,
