date,rsfull_all,rsfull_taipei,rsfull_taichung,rsfull_keelung,rsfull_tainan,rsfull_kaohsiung,rsfull_newtaipei,rsfull_taoyuan,rsfull_chiayi,rsfull_hsinchu,rsfull_yunlin,rsfull_pingtung,rsfull_hualien,rsfull_taitung
2000q1,.77092826,.55352223,.88396943,1.0010722,.91066301,1.1459172,.5802719,1.0152241,1.490772,.51801866,.98221165,1.3052362,,
2000q2,.77515471,.53005397,.92709112,.94280005,.87655401,1.2827803,.59460676,1.0321625,1.4621568,.46940017,.95149976,1.292074,1.2511711,1.3996214
2000q3,.7569862,.53243947,.84063971,.93884611,.86955643,1.3076439,.59992844,1.0648419,1.3888651,.41605881,.93406528,1.2157578,.93536597,1.0509762
2000q4,.74953252,.51486391,.85738331,.91300255,.8713643,1.1752232,.58884263,1.3001863,1.389756,.42854267,.92852491,1.0773662,,
2001q1,.73672467,.48727229,.91183323,.859707,.82594675,1.2084246,.59807128,1.1705699,1.4715389,.58035195,.81921554,1.2192156,,1.100956
2001q2,.72907412,.49008468,.87716329,.8635658,.78052795,1.0358188,.53947628,1.3302319,1.352057,.47203562,.82012546,1.0743809,1.1190449,1.2318859
2001q3,.71744454,.46680501,.83276343,.87995702,.78471744,1.0901951,.53579766,1.4667621,1.3716874,.46330428,.80525446,1.0109091,.92778581,1.100956
2001q4,.68670267,.45925009,.8404476,.82920963,.79046911,1.0540861,.555062,.97236103,1.296753,.59675753,.71943569,1.2481594,1.0538688,
2002q1,.69011462,.47119808,.87432152,.82758629,.75025779,1.0233008,.55244017,.94099677,1.2839472,.61781961,.78171206,1.1510161,1.2409972,2.1537948
2002q2,.69492805,.49396619,.8051967,.89345497,.73103702,1.0634693,.54981941,.91083753,1.2630683,.67621344,.78362495,1.2615298,1.2841541,1.4861169
2002q3,.68624836,.47129372,.8392809,.83973753,.74335927,1.0735797,.55299473,1.001696,1.2673235,.60485691,.70190775,1.281576,1.1933461,
2002q4,.66466564,.47056335,.81174219,.80965626,.71126342,.96601844,.54688084,.87386024,1.2621911,.57808602,.78374082,1.1845415,1.0980369,
2003q1,.65868258,.46760133,.73644984,.8293575,.70835459,1.0058008,.53146708,.81707424,1.1604433,.72004586,.76396906,1.1976757,1.6578181,.92234099
