quarter,cll,official,sinyi,cathay,aife
2000Q1,0.770928,,,0.639391,
2000Q2,0.775155,,,0.655137,
2000Q3,0.756986,,,0.642876,
2000Q4,0.749533,,,0.648167,
2001Q1,0.736725,,,0.658751,
2001Q2,0.729074,,,0.613578,
2001Q3,0.717445,,,0.629195,
2001Q4,0.686703,,,0.594347,
2002Q1,0.690115,,,0.574858,
2002Q2,0.694928,,,0.574084,
2002Q3,0.686248,,,0.582344,
2002Q4,0.664666,,,0.581699,
2003Q1,0.658683,,,0.58557,
2003Q2,0.651775,,,0.572535,
2003Q3,0.655516,,,0.589572,
2003Q4,0.665179,,,0.593314,
2004Q1,0.685265,,,0.59809,
2004Q2,0.74482,,,0.63668,
2004Q3,0.688299,,,0.628033,
2004Q4,0.690707,,,0.640681,
2005Q1,0.717051,,,0.643134,
2005Q2,0.724997,,,0.644166,
2005Q3,0.727121,,,0.628678,
2005Q4,0.737069,,,0.65604,
2006Q1,0.746626,,,0.679788,
2006Q2,0.761291,,,0.671657,
2006Q3,0.763404,,,0.688049,
2006Q4,0.777197,,,0.696567,
2007Q1,0.755596,,,0.7389,
2007Q2,0.803692,,,0.746902,
2007Q3,0.794139,,,0.757357,
2007Q4,0.806291,,,0.782912,
2008Q1,0.823381,,,0.778911,
2008Q2,0.838946,,,0.807047,
2008Q3,0.827102,,,0.809628,
2008Q4,0.808827,,,0.802142,
2009Q1,0.799626,,,0.743418,
2009Q2,0.825866,,,0.770263,
2009Q3,0.847817,,,0.766004,
2009Q4,0.877225,,,0.816727,
2010Q1,0.896098,,,0.845509,
2010Q2,0.904757,,,0.870676,
2010Q3,0.939328,,,0.889391,
2010Q4,0.970487,,,0.911203,
2011Q1,0.994834,,,0.947599,
2011Q2,0.905874,,,0.979608,
2011Q3,0.93538,,,0.985287,
2011Q4,0.944698,,,0.963087,
2012Q1,0.95538,,,0.993934,
2012Q2,1.010261,,,1.050981,
2012Q3,1.0,1.0,,1.0,
2012Q4,1.027078,1.010005,,1.063113,
2013Q1,1.070344,1.048886,,1.094089,
2013Q2,1.122872,1.098151,,1.121838,
2013Q3,1.160918,1.126393,,1.127775,
2013Q4,1.203445,1.149569,,1.199793,
2014Q1,1.23085,1.190856,,1.169721,
2014Q2,1.269642,1.211373,,1.191791,
2014Q3,1.267986,1.237082,,1.205601,
2014Q4,1.288148,1.254686,,1.183402,
2015Q1,1.309185,1.276216,,1.165204,
2015Q2,1.317734,1.268364,,1.19192,
2015Q3,1.311277,1.267477,,1.16017,
2015Q4,1.30111,1.261398,,1.085312,
2016Q1,1.300528,1.257852,,0.945663,
2016Q2,1.305079,1.276089,,0.917527,
2016Q3,1.312546,1.275203,,0.986577,
2016Q4,1.30425,1.254939,,0.951084,
2017Q1,1.306153,1.259119,,0.975865,
2017Q2,1.321779,1.264691,,0.976639,
2017Q3,1.324227,1.275203,,0.979608,
2017Q4,1.33999,1.274063,,1.030201,
2018Q1,1.350888,1.274316,,1.00413,
2018Q2,1.363509,1.267477,,1.028007,
2018Q3,1.367569,1.274443,,1.020134,
2018Q4,1.373127,1.276596,,1.081699,
2019Q1,1.357739,1.280268,,1.097961,
2019Q2,1.384337,1.286601,,1.094992,
2019Q3,1.422468,1.311677,,1.115901,
2019Q4,1.456175,1.318896,,1.126484,
2020Q1,1.53951,1.325861,,1.150878,
2020Q2,1.482359,1.334726,,1.197728,
2020Q3,1.339285,1.353723,,1.221477,
2020Q4,1.520032,1.369934,,1.217605,
2021Q1,1.68697,1.400836,,1.228317,
2021Q2,1.663599,1.423759,,1.22935,
2021Q3,1.596001,1.454281,,1.275555,
2021Q4,1.688554,1.488095,,1.374548,
2022Q1,1.791179,1.532548,,1.562339,
2022Q2,1.848486,1.570035,,1.656298,
2022Q3,1.905331,1.599924,,1.70586,
2022Q4,1.967238,1.614868,,1.717346,
2023Q1,2.016844,1.631839,,1.690501,
2023Q2,2.021154,1.656535,,1.789365,
2023Q3,2.111219,1.686677,,1.766649,
2023Q4,2.159236,1.724924,,1.77065,
2024Q1,2.290489,1.783435,,1.795173,
2024Q2,2.380715,1.855117,,1.915462,
2024Q3,2.451058,1.89577,,2.052013,
2024Q4,2.472807,1.912107,,2.075503,
2025Q1,2.522405,1.887411,,2.091766,
2025Q2,2.549559,1.882599,,2.086603,
2025Q3,2.498331,1.842199,,2.081053,
2025Q4,2.50096,,,2.097832,
2026Q1,2.438029,,,,
