quarter,govt_all
2012Q3,1.0
2012Q4,1.010005
2013Q1,1.048886
2013Q2,1.098151
2013Q3,1.126393
2013Q4,1.149569
2014Q1,1.190856
2014Q2,1.211373
2014Q3,1.237082
2014Q4,1.254686
2015Q1,1.276216
2015Q2,1.268364
2015Q3,1.267477
2015Q4,1.261398
2016Q1,1.257852
2016Q2,1.276089
2016Q3,1.275203
2016Q4,1.254939
2017Q1,1.259119
2017Q2,1.264691
2017Q3,1.275203
2017Q4,1.274063
2018Q1,1.274316
2018Q2,1.267477
2018Q3,1.274443
2018Q4,1.276596
2019Q1,1.280268
2019Q2,1.286601
2019Q3,1.311677
2019Q4,1.318896
2020Q1,1.325861
2020Q2,1.334726
2020Q3,1.353723
2020Q4,1.369934
2021Q1,1.400836
2021Q2,1.423759
2021Q3,1.454281
2021Q4,1.488095
2022Q1,1.532548
2022Q2,1.570035
2022Q3,1.599924
2022Q4,1.614868
2023Q1,1.631839
2023Q2,1.656535
2023Q3,1.686677
2023Q4,1.724924
2024Q1,1.783435
2024Q2,1.855117
2024Q3,1.89577
2024Q4,1.912107
2025Q1,1.887411
2025Q2,1.882599
2025Q3,1.842199
