year,rsfull_all,rsfull_taipei,rsfull_taichung,rsfull_keelung,rsfull_tainan,rsfull_kaohsiung,rsfull_newtaipei,rsfull_taoyuan,rsfull_chiayi,rsfull_hsinchu,rsfull_yunlin,rsfull_pingtung,rsfull_hualien,rsfull_taitung
2000,.72052437,.45640215,.78007454,.96834809,.92420304,1.20825,.55130011,1.0414943,1.4164078,.54738355,.84670019,1.1355311,1.0527947,1.0698686
2001,.67818695,.40263042,.77620459,.88031936,.83750898,1.0818298,.52320439,1.1578768,1.3615105,.6565491,.71284723,1.0689675,1.052196,.96277326
2002,.65054965,.41106012,.75695556,.86476916,.77113885,1.026929,.51348728,.88102281,1.266233,.75904346,.70119405,1.1494864,1.1675822,1.5479133
2003,.62642407,.40884244,.69797736,.81844503,.74343389,.97660911,.51230013,.78833759,1.2011009,.7526508,.71946639,1.1018335,.93130165,.96022266
2004,.65734661,.45723167,.74446851,.81080204,.78119081,.96955049,.54621196,.83519274,1.2323589,.83993119,.73295438,1.0263946,.87425631,.9356221
2005,.69188559,.50136811,.78043407,.81102085,.83225077,.95544791,.59068781,.76580566,1.2302258,.81306016,.74096775,1.0409095,.94991785,1.0324175
2006,.72558284,.54536211,.8351633,.85060704,.85434812,.9541558,.61003476,.77761859,1.2643938,.9258914,.77197868,1.1506259,.96686316,.83301145
2007,.75219864,.61651933,.82973045,.84852743,.85527527,.87198091,.64083606,.84766001,1.2920568,.92973769,.74053842,1.2080301,.90603822,.80112481
2008,.78567487,.65352672,.8594901,.86934453,.86398208,.88153505,.67776668,.81131411,1.2820979,.99050415,.80964553,1.2322453,.98569083,.8665098
2009,.79967719,.67464948,.8659181,.86853397,.86386263,.87521636,.6882394,.80558181,1.2395347,1.0069511,.79811513,1.1932957,.90581667,.9284547
2010,.88203299,.79087752,.89978188,.9175114,.92747205,.89161485,.77717626,.85061347,1.2369797,1.0111316,.85656917,1.2153604,.96508116,1.0243673
2011,.93829799,.89521468,.93474633,.95315373,.98135668,.97972745,.90033728,.93333137,1.1110044,1.0663885,.96909863,1.2565125,1.0485013,
2012,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013,1.16113,1.0692031,1.1497364,1.14627,1.1334345,1.1692282,1.138108,1.2350231,1.1067194,1.0868607,1.1027355,1.134532,1.187709,1.131343
2014,1.3062325,1.1022545,1.2876335,1.3389231,1.324767,1.3484175,1.2467614,1.436628,1.2381748,1.1863228,1.1454719,1.2851502,1.4906392,1.332009
2015,1.3580475,1.0731686,1.3538649,1.4780354,1.3960763,1.4145461,1.2358996,1.5013199,1.3372438,1.2662221,1.1672102,1.4426024,1.7086943,1.5765146
2016,1.3551786,1.0513128,1.3653042,1.5565658,1.4058238,1.4176716,1.2086613,1.4764458,1.3855284,1.2673267,1.2490191,1.4821522,1.7890286,1.6990138
2017,1.3866427,1.0320442,1.4196248,1.609951,1.4848651,1.4678513,1.2099367,1.4886057,1.4180126,1.2663323,1.2708207,1.5987697,1.8044164,1.8033438
2018,1.4505317,1.0529094,1.4882963,1.6354845,1.5637424,1.497843,1.2299887,1.5302427,1.4983429,1.2968239,1.2777815,1.6825666,1.8126968,1.9211801
2019,1.4928776,1.0747063,1.5513116,1.7299764,1.7984833,1.585862,1.2560627,1.5950241,1.5975938,1.2967533,1.1627719,1.8847547,1.8777522,2.1017594
2020,1.744385,1.112831,1.7730269,2.0278804,2.2689207,1.9176991,1.3430661,1.8064477,2.0389073,1.5857323,1.2370465,2.4685173,2.1177137,2.7894444
2021,1.7744361,1.1645374,1.8656427,2.0137393,2.3206923,1.8769526,1.3775957,1.8345668,1.9197415,1.5284306,1.1905317,2.4020588,2.3069799,2.962676
2022,2.0874727,1.2524974,2.1726012,2.261107,2.9989071,2.3467305,1.5587765,2.2243433,2.1588066,1.8662391,1.4299045,2.722724,2.511987,2.964668
2023,2.3547039,1.3392789,2.4208426,2.6035869,3.4045525,2.7094967,1.7486862,2.5514326,2.5828302,2.1713886,1.5768594,3.0606384,2.8055832,3.3951485
2024,2.7184296,1.4902556,2.7659273,3.126488,3.8236952,3.1615524,2.0237079,2.9388058,3.1832933,2.699048,1.6546971,3.5325222,3.160181,4.386929
2025,2.9340408,1.5813854,2.8534122,3.454205,4.0612102,3.4200108,2.2002599,3.2420542,3.6706204,2.990494,1.7457188,3.6776404,3.3493214,4.6129184
